,2015-8-24,http://www.apinpai.com/,我;张国荣;80;励志,  273,1447.1700
213,2015-12-24,http://www.movie.com/bor/12386／,《坏蛋必须死》;2015.11.27;2015.12.20;北京新力量、华谊兄弟、南京大道行知;孙皓;陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民;喜剧，悬疑，旅行，爱情;票房（万）4705.4 ;6.0 ;,,
214,2015-3-1,http://www.qiyi123.com/,屋顶;温岚;80;励志,242.0,1056.96
215,2015-12-20,http://www.movie.com/dor/,《将错就错》;2015.3.5;2015.3.29;中国电影股份有限公司等;王宁;小沈阳，田亮，陈小春，熊黛林;爱情、喜剧;票房（万）3937.4 ;3.8 ;,,
216,2015-8-4,http://www.denghuo.com/,星;邓丽君;80;励志,62.0,1865.8
217,2015-8-23,http://www.99inf.com/,借过;容祖儿;90;伤感,113.0,137.64
218,2015-12-17,http://www.movie.com/bor/,《简单爱》;2015.7.3;2015.7.19;中视合利（北京）文化投资有限公司一鸣影业公司（美国）;崔龄燕;许绍洋，张琳，谢雨芩，石铭熙;都市浪漫爱情喜剧;票房（万）21.7 ;,,
219,2015-12-19,http://www.movie.com/bor/,《一念天堂》;2015.12.31;2016.2.13;天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司;张承;沈腾，马丽，林雪，杜晓宇，王子子，李元鹏;喜剧;票房（万）8279.5 ;5.2 ;,,
220,2015-4-6,http://www.qudee.com/,给所有知道我名字的人;赵传;80;励志,218.0,1093.16
221,2015-6-20,http://www.favolist.com/,一起走过的日子;刘德华;80;伤感,8.0,54.15
222,2015-12-18,http://www.movie.com/bor/,《冲上云霄》;2015.2.19;2015.3.29;寰亚电影制作有限公司;叶伟信，邹凯光;古天乐，郑秀文，吴镇宇，张智霖，佘诗曼，郭采洁;剧情，爱情;票房（万）15631.3 ;4.4 ;,,
223,2015-5-5,http://www.alifenfen.com/,最冷一天;陈奕迅;90;伤感,120.0,1650.71
224,2015-4-21,http://www.alifenfen.com/,无悔这一生;beyond;80;励志,127.0,200.06
225,2015-5-6,http://www.jieu.com/,借我;谢春花;90;伤感,84.0,1250.58
226,2015-7-28,http://www.alifenfen.com/,加油;林俊杰/mc hotdog;90;励志,229.0,996.68
227,2015-12-12,http://www.movie.com/bor/12386／,《万物生长》;2015.4.17;2015.5.24;北京劳雷影业、杭州果麦文化传媒、北京联瑞影业;李玉;范冰冰，韩庚，沙溢，吴莫愁，杨迪，齐溪，张博宇，沈婷婷，李梦，雷恪生，吕行;爱情、剧情、校园、喜剧;票房（万）14831.8 ;5.8 ;,,
228,2015-12-19,http://www.movie.com/bor/12386／,《既然青春留不住》;2015.10.23;2015.11.22;杭州和润影视有限公司;田蒙;张翰，陈乔恩，王啸坤，施予斐，贾盛强，廖娟;喜剧、爱情;票房（万）5020.3 ;4.5 ;,,
229,2015-3-28,http://www.yifawang.cn/,感恩的心;欧阳菲菲;90;励志,232.0,123.39
230,2015-8-17,http://www.mouxiao.com/,story of my life;bon jovi;90;励志,279.0,66.2
231,2015-5-16,http://beijing.faxinxi.cn/,无悔这一生;beyond;80;励志,34.0,1832.8
232,2015-6-21,http://www.jieu.com/,感恩的心;欧阳菲菲;90;励志,278.0,82.81
233,2015-5-13,http://www.99inf.com/,借我;谢春花;90;伤感,122.0,730.67
234,2015-3-31,http://www.ezxun.com/,空壳;陈慧敏;90;伤感,180.0,414.37
235,2015-12-18,http://www.movie.com/bor/12386／,《紫霞》;2015.12.11;2015.12.27;映代码公司;苗述;徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江;爱情，奇幻;票房（万）49.1 ;2.4 ;,,
236,2015-6-21,http://www.qudee.com/,屋顶;温岚;80;励志,144.0,98.55
237,2015-8-23,http://www.yifawang.cn/,感恩的心;欧阳菲菲;90;励志,181.0,1501.11
238,2015-8-7,http://www.yifawang.cn/,firework;katy perry;90;励志,202.0,475.75
239,2015-4-10,http://www.waaku.com/,firework;katy perry;90;励志,111.0,551.24
240,2015-3-5,http://www.jieu.com/,匿名的好友;杨丞琳;90;伤感,61.0,1848.42
241,2015-4-22,http://beijing.hand2hand.cn/,story of my life;bon jovi;90;励志,115.0,1500.89
242,2015-6-1,http://www.waaku.com/,story of my life;bon jovi;90;励志,72.0,1522.14
243,2015-3-27,http://bj.454.cn/,逃脱;李玟;90;伤感,57.0,1629.45
244,2015-6-28,http://www.wuhan58.com/index.php,永远不要说放弃;童安格;80;励志,182.0,1092.77
245,2015-12-27,http://www.movie.com/bor/12386／,《最美的时候遇见你》;2015.12.11;2015.12.27;广州遐迩文化传播有限公司;吴娜;谭松韵，罗云熙;校园，爱情，喜剧;票房（万）156.2 ;5.5 ;,,
246,2015-5-7,http://www.wanxn.com/,一起走过的日子;刘德华;80;伤感,63.0,674.68
247,2015-5-8,http://www.wanxn.com/,星;邓丽君;80;励志,127.0,1435.08
248,2015-12-29,http://www.movie.com/bor/,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
249,2015-5-25,http://info.tianya.cn,story of my life;bon jovi;90;励志,7.0,1048.97
250,2015-12-3,http://www.movie.com/dor/,《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;票房（万）334.1 ;5.6 ;,,
251,2015-12-22,http://www.movie.com/dor/,《坏蛋必须死》;2015.11.27;2015.12.20;北京新力量、华谊兄弟、南京大道行知;孙皓;陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民;喜剧，悬疑，旅行，爱情;票房（万）4705.4 ;6.0 ;,,
252,2015-12-10,http://www.movie.com/bor/12386／,《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;票房（万）334.1 ;5.6 ;,,
253,2015-3-15,http://www.ezxun.com/,无悔这一生;beyond;80;励志,83.0,1839.2
254,2015-6-11,http://www.wanxn.com/,the climb;miley cyrus;80;励志,254.0,1922.53
255,2015-6-12,http://info.tianya.cn,一起走过的日子;刘德华;80;伤感,126.0,1946.09
256,2015-7-18,http://www.99inf.com/,my way;张敬轩;90;励志,225.0,442.13
257,2015-12-21,http://www.movie.com/dor/,《浪漫天降》;2015.10.23;2015.11.8;;宁瀛;夏雨，关晓彤，邱泽;浪漫，爱情，喜剧;票房（万）785.2 ;4.1 ;,,
258,2015-7-5,http://www.010y.com/,逃脱;李玟;90;伤感,61.0,1078.96
259,2015-4-21,http://www.010y.com/,数鸭子;少儿歌曲;90;儿歌,96.0,1411.71
260,2015-4-2,http://bj.qu114.com/,借过;容祖儿;90;伤感,25.0,725.78
261,2015-7-6,http://www.wuhan58.com/index.php,壮志雄心;李克勤;90;励志,12.0,1322.31
262,2015-7-12,http://www.99inf.com/,一起走过的日子;刘德华;80;伤感,99.0,968.16
263,2015-3-15,http://www.denghuo.com/,壮志雄心;李克勤;90;励志,65.0,1857.78
264,2015-4-29,http://www.yifawang.cn/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,158.0,1614.66
265,2015-7-17,http://beijing.faxinxi.cn/,一起走过的日子;刘德华;80;伤感,104.0,1834.72
266,2015-7-30,http://beijing.faxinxi.cn/,the climb;miley cyrus;80;励志,156.0,1475.03
267,2015-3-9,http://bj.454.cn/,最冷一天;陈奕迅;90;伤感,285.0,1544.14
268,2015-6-26,http://www.jieu.com/,从头再来;刘欢;90;励志,162.0,1508.14
269,2015-8-20,http://www.qiyi123.com/,加油;林俊杰/mc hotdog;90;励志,115.0,1809.83
270,2015-3-26,http://www.denghuo.com/,无悔这一生;beyond;80;励志,240.0,1400.97
271,2015-3-15,http://www.99inf.com/,光辉岁月;beyond;80;励志,64.0,740.81
272,2015-3-31,http://www.010y.com/,从头再来;刘欢;90;励志,268.0,1342.44
273,2015-5-19,http://bj.qu114.com/,最冷一天;陈奕迅;90;伤感,125.0,441.32
274,2015-8-5,http://bj.qu114.com/,我心是海洋;蔡琴;80;励志,233.0,787.8
275,2015-4-23,http://www.99inf.com/,拔萝卜;小蓓蕾组合;90;儿歌,260.0,460.63
276,2015-3-5,http://beijing.hand2hand.cn/,小兔子乖乖;小蓓蕾组合;90;儿歌,90.0,869.91
277,2015-6-26,http://www.wuhan58.com/index.php,story of my life;bon jovi;90;励志,71.0,386.92
278,2015-7-30,http://www.99inf.com/,壮志雄心;李克勤;90;励志,88.0,80.08
279,2015-7-14,http://www.wuhan58.com/index.php,路...一直都在;陈奕迅;90;励志,44.0,1507.61
280,2015-3-10,http://www.jieu.com/,the climb;miley cyrus;80;励志,188.0,51.39
281,2015-12-30,http://www.movie.com/bor/,《爱情魔发师》;2015.7.17;2015.8.2;北京仁和博纳文化传媒有限公司;倾海;游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩;喜剧 / 爱情;票房（万）20.3 ;3.8 ;,,
282,2015-5-13,http://www.010y.com/,无悔这一生;beyond;80;励志,240.0,1734.05
283,2015-7-1,http://www.wanxn.com/,借过;容祖儿;90;伤感,51.0,1396.58
284,2015-3-8,http://www.010y.com/,永远不要说放弃;童安格;80;励志,56.0,708.91
285,2015-12-13,http://www.movie.com/bor/,《浪漫天降》;2015.10.23;2015.11.8;;宁瀛;夏雨，关晓彤，邱泽;浪漫，爱情，喜剧;票房（万）785.2 ;4.1 ;,,
286,2015-5-31,http://www.010y.com/,firework;katy perry;90;励志,147.0,605.74
287,2015-6-1,http://www.010y.com/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,148.0,290.06
288,2015-7-8,http://bj.454.cn/,同道中人;张国荣;80;励志,187.0,1508.67
289,2015-5-5,http://www.favolist.com/,空壳;陈慧敏;90;伤感,152.0,638.51
290,2015-7-2,http://www.yifawang.cn/,我心是海洋;蔡琴;80;励志,122.0,1211.32
291,2015-8-8,http://www.alifenfen.com/,同道中人;张国荣;80;励志,59.0,455.01
292,2015-5-29,http://www.yifawang.cn/,光辉岁月;beyond;80;励志,106.0,1284.57
293,2015-4-12,http://www.wuhan58.com/index.php,永远不要说放弃;童安格;80;励志,212.0,874.13
294,2015-6-30,http://www.waaku.com/,加油;林俊杰/mc hotdog;90;励志,141.0,1628.78
295,2015-8-16,http://www.favolist.com/,感恩的心;欧阳菲菲;90;励志,29.0,1607.18
296,2015-8-13,http://beijing.hand2hand.cn/,最冷一天;陈奕迅;90;伤感,226.0,1841.25
297,2015-4-1,http://bj.qu114.com/,感恩的心;欧阳菲菲;90;励志,80.0,225.06
298,2015-3-22,http://bj.qu114.com/,最冷一天;陈奕迅;90;伤感,208.0,69.05
299,2015-5-19,http://www.denghuo.com/,拔萝卜;小蓓蕾组合;90;儿歌,145.0,928.01
300,2015-12-3,http://www.movie.com/bor/,《万物生长》;2015.4.17;2015.5.24;北京劳雷影业、杭州果麦文化传媒、北京联瑞影业;李玉;范冰冰，韩庚，沙溢，吴莫愁，杨迪，齐溪，张博宇，沈婷婷，李梦，雷恪生，吕行;爱情、剧情、校园、喜剧;票房（万）14831.8 ;5.8 ;,,
301,2015-12-24,http://www.movie.com/dor/,《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;票房（万）334.1 ;5.6 ;,,
302,2015-6-6,http://www.010y.com/,firework;katy perry;90;励志,111.0,591.13
303,2015-12-25,http://www.movie.com/bor/12386／,《天将雄师》;2015.2.19;2015.4.6;耀莱文化，华谊兄弟，上海电影集团;李仁港;成龙，约翰·库萨克，阿德里安·布劳迪，崔始源 ，林鹏，王若心，筷子兄弟，西蒙子，冯绍峰，朱佳煜;动作，古装，剧情，历史;票房（万）74430.2 ;,,
304,2015-6-25,http://www.wanxn.com/,my way;张敬轩;90;励志,215.0,1862.0
305,2015-6-17,http://www.apinpai.com/,像我一样骄傲;赵传;80;励志,104.0,737.74
306,2015-8-2,http://www.ezxun.com/,firework;katy perry;90;励志,275.0,233.92
307,2015-3-2,http://www.apinpai.com/,匿名的好友;杨丞琳;90;伤感,97.0,988.33
308,2015-12-5,http://www.movie.com/bor/,《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;票房（万）1273.2 ;6.5 ;,,
309,2015-6-1,http://www.99inf.com/,my way;张敬轩;90;励志,19.0,471.98
310,2015-4-8,http://bj.qu114.com/,拔萝卜;小蓓蕾组合;90;儿歌,226.0,1601.85
311,2015-4-21,http://www.wanxn.com/,借我;谢春花;90;伤感,43.0,1943.12
312,2015-12-3,http://www.movie.com/bor/12386／,《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;票房（万）334.1 ;5.6 ;,,
313,2015-5-19,http://bj.454.cn/,忘记拥抱;a-lin;80;伤感,16.0,1273.52
314,2015-7-27,http://www.favolist.com/,来来回回;陈楚生&spy.c;90;伤感,130.0,1944.49
315,2015-7-30,http://www.ezxun.com/,匿名的好友;杨丞琳;90;伤感,106.0,1465.11
316,2015-12-4,http://www.movie.com/bor/,《既然青春留不住》;2015.10.23;2015.11.22;杭州和润影视有限公司;田蒙;张翰，陈乔恩，王啸坤，施予斐，贾盛强，廖娟;喜剧、爱情;票房（万）5020.3 ;4.5 ;,,
317,2015-5-15,http://www.alifenfen.com/,感恩的心;欧阳菲菲;90;励志,237.0,1354.21
318,2015-12-25,http://www.movie.com/bor/,《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;票房（万）334.1 ;5.6 ;,,
319,2015-5-14,http://bj.454.cn/,感恩的心;欧阳菲菲;90;励志,12.0,1354.52
320,2015-8-18,http://www.qiyi123.com/,加油;林俊杰/mc hotdog;90;励志,237.0,119.1
321,2015-4-15,http://www.wuhan58.com/index.php,光辉岁月;beyond;80;励志,39.0,1368.03
322,2015-5-27,http://www.denghuo.com/,永远不要说放弃;童安格;80;励志,249.0,1380.68
323,2015-7-4,http://bj.454.cn/,小兔子乖乖;小蓓蕾组合;90;儿歌,37.0,272.85
324,2015-3-15,http://info.tianya.cn,给所有知道我名字的人;赵传;80;励志,45.0,54.39
325,2015-4-28,http://info.tianya.cn,路...一直都在;陈奕迅;90;励志,100.0,1701.75
326,2015-7-14,http://www.ezxun.com/,同道中人;张国荣;80;励志,283.0,834.61
327,2015-3-31,http://www.qiyi123.com/,匿名的好友;杨丞琳;90;伤感,163.0,1238.35
328,2015-12-2,http://www.movie.com/dor/,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;,,
329,2015-5-3,http://www.jieu.com/,星;邓丽君;80;励志,130.0,422.26
330,2015-7-20,http://www.alifenfen.com/,星;邓丽君;80;励志,279.0,866.92
331,2015-12-1,http://www.movie.com/dor/,《爱情魔发师》;2015.7.17;2015.8.2;北京仁和博纳文化传媒有限公司;倾海;游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩;喜剧 / 爱情;票房（万）20.3 ;3.8 ;,,
332,2015-7-29,http://www.favolist.com/,借我;谢春花;90;伤感,220.0,1033.92
333,2015-12-7,http://www.movie.com/dor/,《一路惊喜》;2015.2.6;2015.3.8;万达影视传媒有限公司;金依萌/潘安子/章家瑞/宋迪;郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉;喜剧/爱情/家庭;票房（万）6974.6 ;5.0 ;,,
334,2015-8-29,http://www.mouxiao.com/,像我一样骄傲;赵传;80;励志,117.0,440.58
335,2015-8-26,http://www.yifawang.cn/,给所有知道我名字的人;赵传;80;励志,158.0,416.78
336,2015-4-1,http://www.wanxn.com/,星;邓丽君;80;励志,263.0,887.34
337,2015-4-19,http://info.tianya.cn,拔萝卜;小蓓蕾组合;90;儿歌,219.0,1820.16
338,2015-7-30,http://www.favolist.com/,逃脱;李玟;90;伤感,101.0,693.17
339,2015-8-23,http://www.mouxiao.com/,空壳;陈慧敏;90;伤感,84.0,1138.59
340,2015-5-30,http://www.wanxn.com/,给所有知道我名字的人;赵传;80;励志,175.0,596.66
341,2015-3-3,http://www.favolist.com/,加油;林俊杰/mc hotdog;90;励志,248.0,1856.84
342,2015-4-13,http://bj.qu114.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,144.0,159.36
343,2015-5-15,http://bj.qu114.com/,永远不要说放弃;童安格;80;励志,265.0,1025.39
344,2015-12-13,http://www.movie.com/dor/,《前任2：备胎反击战》;2015.11.6;2015.12.20;华谊兄弟传媒股份有限公司、新圣堂影业;田羽生;郑恺，郭采洁，张艺兴，王传君;爱情，喜剧;票房（万）25200.2 ;5.0 ;,,
345,2015-6-29,http://www.yifawang.cn/,光辉岁月;beyond;80;励志,95.0,125.35
346,2015-5-12,http://beijing.faxinxi.cn/,小兔子乖乖;小蓓蕾组合;90;儿歌,22.0,1430.92
347,2015-3-9,http://www.010y.com/,逃脱;李玟;90;伤感,106.0,439.56
348,2015-5-1,http://www.010y.com/,忘记拥抱;a-lin;80;伤感,28.0,839.35
349,2015-3-22,http://www.mouxiao.com/,路...一直都在;陈奕迅;90;励志,278.0,1887.17
350,2015-12-17,http://www.movie.com/bor/12386／,《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;票房（万）41367.3 ;4.7 ;,,
351,2015-6-24,http://beijing.hand2hand.cn/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,259.0,838.36
352,2015-8-30,http://www.010y.com/,爱让世界更美;童安格;90;励志,216.0,1654.88
353,2015-12-28,http://www.movie.com/dor/,《既然青春留不住》;2015.10.23;2015.11.22;杭州和润影视有限公司;田蒙;张翰，陈乔恩，王啸坤，施予斐，贾盛强，廖娟;喜剧、爱情;票房（万）5020.3 ;4.5 ;,,
354,2015-6-5,http://www.jieu.com/,给所有知道我名字的人;赵传;80;励志,155.0,588.4
355,2015-12-2,http://www.movie.com/bor/,《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;票房（万）1273.2 ;6.5 ;,,
356,2015-3-9,http://www.mouxiao.com/,我心是海洋;蔡琴;80;励志,238.0,663.53
357,2015-12-17,http://www.movie.com/bor/,《爱情魔发师》;2015.7.17;2015.8.2;北京仁和博纳文化传媒有限公司;倾海;游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩;喜剧 / 爱情;票房（万）20.3 ;3.8 ;,,
358,2015-12-10,http://www.movie.com/bor/,《既然青春留不住》;2015.10.23;2015.11.22;杭州和润影视有限公司;田蒙;张翰，陈乔恩，王啸坤，施予斐，贾盛强，廖娟;喜剧、爱情;票房（万）5020.3 ;4.5 ;,,
359,2015-7-16,http://www.wanxn.com/,光辉岁月;beyond;80;励志,217.0,935.47
360,2015-5-5,http://www.alifenfen.com/,忘记拥抱;a-lin;80;伤感,254.0,381.71
361,2015-8-6,http://beijing.hand2hand.cn/,光辉岁月;beyond;80;励志,134.0,1641.89
362,2015-12-8,http://www.movie.com/bor/12386／,《怦然星动》;2015.12.3;2016.1.10;欢瑞世纪，嘉行传媒，青春光线;陈国辉;杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙;都市，爱情，喜剧;票房（万）15973.9 ;4.3 ;,,
363,2015-7-2,http://www.alifenfen.com/,匿名的好友;杨丞琳;90;伤感,249.0,618.62
364,2015-3-18,http://beijing.faxinxi.cn/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,233.0,1673.57
365,2015-7-3,http://www.wuhan58.com/index.php,数鸭子;少儿歌曲;90;儿歌,209.0,294.0
366,2015-8-14,http://www.apinpai.com/,一起走过的日子;刘德华;80;伤感,289.0,316.9
367,2015-8-26,http://www.favolist.com/,我;张国荣;80;励志,84.0,1332.55
368,2015-7-31,http://www.apinpai.com/,壮志雄心;李克勤;90;励志,187.0,1560.03
369,2015-7-20,http://bj.qu114.com/,借我;谢春花;90;伤感,8.0,1047.2
370,2015-8-20,http://www.wanxn.com/,壮志雄心;李克勤;90;励志,138.0,769.19
371,2015-3-4,http://www.waaku.com/,同道中人;张国荣;80;励志,80.0,1078.56
372,2015-7-6,http://www.favolist.com/,屋顶;温岚;80;励志,258.0,1359.79
373,2015-5-22,http://www.qiyi123.com/,路...一直都在;陈奕迅;90;励志,256.0,438.47
374,2015-5-21,http://www.alifenfen.com/,从头再来;刘欢;90;励志,12.0,1630.35
375,2015-12-4,http://www.movie.com/bor/12386／,《天将雄师》;2015.2.19;2015.4.6;耀莱文化，华谊兄弟，上海电影集团;李仁港;成龙，约翰·库萨克，阿德里安·布劳迪，崔始源 ，林鹏，王若心，筷子兄弟，西蒙子，冯绍峰，朱佳煜;动作，古装，剧情，历史;票房（万）74430.2 ;,,
376,2015-8-20,http://www.denghuo.com/,空壳;陈慧敏;90;伤感,241.0,455.06
377,2015-5-23,http://www.99inf.com/,匿名的好友;杨丞琳;90;伤感,53.0,1938.47
378,2015-8-12,http://bj.qu114.com/,最冷一天;陈奕迅;90;伤感,169.0,1540.01
379,2015-4-9,http://www.99inf.com/,壮志雄心;李克勤;90;励志,164.0,1368.6
380,2015-5-1,http://www.favolist.com/,感恩的心;欧阳菲菲;90;励志,255.0,74.78
381,2015-12-10,http://www.movie.com/dor/,《怦然星动》;2015.12.3;2016.1.10;欢瑞世纪，嘉行传媒，青春光线;陈国辉;杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙;都市，爱情，喜剧;票房（万）15973.9 ;4.3 ;,,
382,2015-7-15,http://www.wanxn.com/,匿名的好友;杨丞琳;90;伤感,161.0,1348.92
383,2015-12-19,http://www.movie.com/dor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
384,2015-7-5,http://www.ezxun.com/,firework;katy perry;90;励志,103.0,600.66
385,2015-7-27,http://www.favolist.com/,光辉岁月;beyond;80;励志,155.0,726.38
386,2015-3-8,http://www.wanxn.com/,壮志雄心;李克勤;90;励志,259.0,1238.16
387,2015-6-4,http://beijing.hand2hand.cn/,感恩的心;欧阳菲菲;90;励志,53.0,1191.77
388,2015-5-16,http://info.tianya.cn,my way;张敬轩;90;励志,239.0,1268.13
389,2015-7-21,http://beijing.faxinxi.cn/,无悔这一生;beyond;80;励志,201.0,927.21
390,2015-12-22,http://www.movie.com/bor/12386／,《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;票房（万）41367.3 ;4.7 ;,,
391,2015-7-29,http://www.wanxn.com/,爱让世界更美;童安格;90;励志,190.0,809.06
392,2015-6-21,http://www.ezxun.com/,永远不要说放弃;童安格;80;励志,199.0,185.95
393,2015-4-12,http://beijing.faxinxi.cn/,星;邓丽君;80;励志,76.0,1102.61
394,2015-8-6,http://www.yifawang.cn/,空壳;陈慧敏;90;伤感,38.0,1060.17
395,2015-3-29,http://www.apinpai.com/,感恩的心;欧阳菲菲;90;励志,260.0,1394.86
396,2015-3-26,http://bj.qu114.com/,太阳星辰;张学友;80;励志,112.0,428.35
397,2015-3-16,http://bj.454.cn/,my way;张敬轩;90;励志,207.0,907.09
398,2015-3-8,http://www.010y.com/,路...一直都在;陈奕迅;90;励志,66.0,1617.99
399,2015-7-29,http://beijing.hand2hand.cn/,最冷一天;陈奕迅;90;伤感,250.0,461.46
400,2015-5-7,http://info.tianya.cn,借过;容祖儿;90;伤感,39.0,960.86
401,2015-4-22,http://www.waaku.com/,路...一直都在;陈奕迅;90;励志,164.0,1713.06
402,2015-12-23,http://www.movie.com/bor/,《万物生长》;2015.4.17;2015.5.24;北京劳雷影业、杭州果麦文化传媒、北京联瑞影业;李玉;范冰冰，韩庚，沙溢，吴莫愁，杨迪，齐溪，张博宇，沈婷婷，李梦，雷恪生，吕行;爱情、剧情、校园、喜剧;票房（万）14831.8 ;5.8 ;,,
403,2015-12-2,http://www.movie.com/dor/,《一路惊喜》;2015.2.6;2015.3.8;万达影视传媒有限公司;金依萌/潘安子/章家瑞/宋迪;郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉;喜剧/爱情/家庭;票房（万）6974.6 ;5.0 ;,,
404,2015-4-11,http://info.tianya.cn,加油;林俊杰/mc hotdog;90;励志,16.0,300.47
405,2015-5-10,http://www.qiyi123.com/,一起走过的日子;刘德华;80;伤感,241.0,1902.1
406,2015-8-13,http://www.99inf.com/,星;邓丽君;80;励志,226.0,1892.04
407,2015-8-23,http://www.wanxn.com/,忘记拥抱;a-lin;80;伤感,77.0,1621.71
408,2015-6-26,http://www.waaku.com/,给所有知道我名字的人;赵传;80;励志,235.0,1846.44
409,2015-12-14,http://www.movie.com/bor/,《最美的时候遇见你》;2015.12.11;2015.12.27;广州遐迩文化传播有限公司;吴娜;谭松韵，罗云熙;校园，爱情，喜剧;票房（万）156.2 ;5.5 ;,,
410,2015-7-28,http://info.tianya.cn,小兔子乖乖;小蓓蕾组合;90;儿歌,140.0,1047.8
411,2015-12-23,http://www.movie.com/bor/12386／,《爱之初体验》;2015.8.7;2015.8.23;上海锦瑟天下影视有限公司;海涛;张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦;喜剧/爱情;票房（万）321.7 ;4.7 ;,,
412,2015-6-26,http://bj.qu114.com/,让我们荡起双桨;小蓓蕾组合;90;儿歌,14.0,1905.51
413,2015-7-23,http://www.ezxun.com/,story of my life;bon jovi;90;励志,267.0,1530.07
414,2015-12-28,http://www.movie.com/dor/,《全能_爸》;2015.3.5;2015.3.22;河南弘星、北京弘星、杭州寰耀;董春泽;罗京民，孙波，于非，马燕，赵丽，卢思佚，米明杰，贾志;亲情励志喜剧;票房（万）83.0 ;,,
415,2015-12-8,http://www.movie.com/bor/12386／,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
416,2015-12-16,http://www.movie.com/bor/,《爱之初体验》;2015.8.7;2015.8.23;上海锦瑟天下影视有限公司;海涛;张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦;喜剧/爱情;票房（万）321.7 ;4.7 ;,,
